"iso","adm1","adm2","alert__year","alert__week","alert__count","confidence__cat"
"ESP",12,2,2016,32,4,"h"
"ESP",12,3,2018,24,1,"n"
"ESP",12,3,2023,34,1,"n"
"ESP",12,3,2012,2,2,"n"
"ESP",12,4,2017,31,1,"h"
"ESP",12,3,2019,36,2,"l"
"ESP",12,3,2013,38,5,"h"
"ESP",12,4,2020,37,5,"n"
"ESP",12,3,2018,34,3,"h"
"ESP",12,3,2012,10,1,"l"
"ESP",12,2,2014,25,1,"n"
"ESP",12,3,2020,32,3,"l"
"ESP",12,1,2012,7,3,"n"
"ESP",12,3,2015,38,1,"l"
"ESP",12,1,2020,25,1,"n"
"ESP",12,1,2015,33,2,"h"
"ESP",12,2,2019,36,5,"h"
"ESP",12,4,2012,9,3,"n"
"ESP",12,1,2017,31,2,"h"
"ESP",12,4,2023,6,3,"n"
"ESP",12,3,2022,2,2,"n"
"ESP",12,1,2013,36,9,"h"
"ESP",12,1,2012,9,2,"h"
"ESP",12,3,2016,35,8,"h"
"ESP",12,3,2022,6,1,"h"
"ESP",12,3,2021,37,1,"l"
"ESP",12,4,2016,34,3,"n"
"ESP",12,4,2018,41,1,"n"
"ESP",12,2,2017,15,12,"n"
"ESP",12,4,2017,16,4,"n"
"ESP",12,3,2012,11,7,"h"
"ESP",12,1,2022,34,3,"h"
"ESP",12,4,2015,26,5,"n"
"ESP",12,2,2015,30,8,"h"
"ESP",12,2,2017,41,44,"h"
"ESP",12,3,2012,34,6,"n"
"ESP",12,2,2023,41,1,"h"
"ESP",12,2,2013,49,1,"n"
"ESP",12,1,2017,24,1,"l"
"ESP",12,3,2019,37,1,"l"
"ESP",12,4,2015,1,1,"n"
"ESP",12,4,2018,36,1,"l"
"ESP",12,2,2024,6,1,"n"
"ESP",12,3,2013,16,1,"n"
"ESP",12,3,2013,36,4,"n"
"ESP",12,2,2021,23,8,"n"
"ESP",12,4,2021,22,1,"l"
"ESP",12,1,2017,10,1,"n"
"ESP",12,3,2015,21,3,"n"
"ESP",12,4,2013,38,1,"l"
"ESP",12,4,2013,38,3,"n"
"ESP",12,1,2022,18,1,"l"
"ESP",12,4,2012,31,1,"l"
"ESP",12,1,2022,30,1,"n"
"ESP",12,4,2012,35,1,"h"
"ESP",12,4,2020,36,1,"n"
"ESP",12,1,2012,11,5,"n"
"ESP",12,3,2020,30,35,"n"
"ESP",12,1,2013,49,1,"n"
"ESP",12,3,2019,12,9,"n"
"ESP",12,1,2015,25,2,"n"
"ESP",12,2,2024,16,2,"n"
"ESP",12,1,2014,31,1,"n"
"ESP",12,3,2015,20,3,"n"
"ESP",12,4,2015,16,1,"n"
"ESP",12,2,2017,26,1,"l"
"ESP",12,2,2012,10,13,"n"
"ESP",12,3,2015,14,1,"h"
"ESP",12,2,2021,36,12,"h"
"ESP",12,3,2020,37,60,"n"
"ESP",12,4,2017,49,1,"n"
"ESP",12,4,2012,36,3,"n"
"ESP",12,1,2021,46,3,"n"
"ESP",12,4,2012,25,1,"n"
"ESP",12,3,2012,29,3,"n"
"ESP",12,3,2015,35,37,"n"
"ESP",12,4,2016,30,2,"n"
"ESP",12,1,2012,10,8,"n"
"ESP",12,3,2022,29,221,"n"
"ESP",12,3,2018,40,7,"h"
"ESP",12,3,2021,32,4,"n"
"ESP",12,4,2020,14,2,"n"
"ESP",12,3,2012,10,3,"h"
"ESP",12,2,2012,10,2,"l"
"ESP",12,3,2014,44,1,"l"
"ESP",12,1,2013,8,1,"n"
"ESP",12,3,2015,50,2,"n"
"ESP",12,2,2022,29,130,"n"
"ESP",12,1,2015,11,1,"l"
"ESP",12,3,2018,19,3,"l"
"ESP",12,3,2021,12,1,"l"
"ESP",12,3,2017,31,34,"h"
"ESP",12,2,2013,27,3,"n"
"ESP",12,3,2015,16,4,"n"
"ESP",12,3,2023,31,2,"n"
"ESP",12,2,2022,31,4,"n"
"ESP",12,2,2021,46,1,"l"
"ESP",12,3,2017,11,13,"n"
"ESP",12,3,2021,33,1,"n"
"ESP",12,3,2017,16,2,"h"
"ESP",12,3,2017,39,2,"n"
"ESP",12,2,2013,16,5,"n"
"ESP",12,2,2022,28,99,"n"
"ESP",12,2,2013,41,2,"n"
"ESP",12,2,2021,36,17,"n"
"ESP",12,2,2019,30,2,"n"
"ESP",12,4,2024,12,2,"n"
"ESP",12,1,2017,41,1,"n"
"ESP",12,4,2022,28,2,"l"
"ESP",12,4,2015,46,1,"n"
"ESP",12,2,2017,10,1,"n"
"ESP",12,4,2015,13,1,"h"
"ESP",12,3,2022,32,5,"l"
"ESP",12,3,2017,14,11,"n"
"ESP",12,2,2017,41,4,"l"
"ESP",12,2,2013,23,3,"n"
"ESP",12,3,2016,33,4,"n"
"ESP",12,3,2021,35,1,"n"
"ESP",12,3,2022,35,1,"h"
"ESP",12,1,2014,16,3,"n"
"ESP",12,3,2017,17,1,"h"
"ESP",12,1,2019,38,1,"n"
"ESP",12,2,2017,43,1,"n"
"ESP",12,3,2020,8,1,"n"
"ESP",12,3,2021,18,2,"n"
"ESP",12,4,2021,33,1,"l"
"ESP",12,2,2013,36,1,"h"
"ESP",12,3,2022,31,24,"n"
"ESP",12,3,2021,36,3,"h"
"ESP",12,2,2017,17,3,"n"
"ESP",12,3,2019,37,5,"h"
"ESP",12,4,2018,33,1,"n"
"ESP",12,3,2019,36,15,"n"
"ESP",12,3,2018,39,4,"n"
"ESP",12,3,2015,30,7,"n"
"ESP",12,3,2017,42,2,"l"
"ESP",12,3,2022,16,2,"n"
"ESP",12,4,2013,37,3,"l"
"ESP",12,2,2016,32,13,"n"
"ESP",12,1,2017,31,1,"n"
"ESP",12,3,2016,16,1,"n"
"ESP",12,4,2021,14,1,"n"
"ESP",12,3,2019,2,6,"n"
"ESP",12,1,2013,20,1,"h"
"ESP",12,1,2016,27,1,"l"
"ESP",12,3,2012,20,2,"n"
"ESP",12,1,2024,15,2,"n"
"ESP",12,2,2012,8,9,"n"
"ESP",12,2,2020,9,1,"h"
"ESP",12,3,2012,36,3,"n"
"ESP",12,2,2023,13,10,"n"
"ESP",12,3,2022,21,1,"n"
"ESP",12,2,2013,38,2,"n"
"ESP",12,1,2021,34,1,"l"
"ESP",12,1,2016,43,1,"n"
"ESP",12,3,2023,20,1,"n"
"ESP",12,3,2017,43,5,"n"
"ESP",12,3,2017,15,2,"h"
"ESP",12,1,2013,20,1,"n"
"ESP",12,2,2017,11,1,"h"
"ESP",12,3,2022,4,2,"l"
"ESP",12,3,2015,32,10,"n"
"ESP",12,3,2014,12,2,"h"
"ESP",12,3,2017,30,1,"h"
"ESP",12,2,2012,38,5,"h"
"ESP",12,3,2018,52,1,"n"
"ESP",12,3,2016,30,2,"n"
"ESP",12,2,2023,13,1,"l"
"ESP",12,2,2013,35,5,"h"
"ESP",12,3,2016,36,51,"n"
"ESP",12,3,2016,29,3,"n"
"ESP",12,3,2020,38,21,"h"
"ESP",12,3,2022,28,64,"n"
"ESP",12,2,2021,14,1,"l"
"ESP",12,4,2024,17,2,"n"
"ESP",12,1,2017,25,1,"n"
"ESP",12,1,2012,38,1,"n"
"ESP",12,4,2012,33,1,"n"
"ESP",12,3,2022,28,6,"l"
"ESP",12,3,2012,21,1,"l"
"ESP",12,4,2016,43,1,"n"
"ESP",12,4,2020,19,1,"l"
"ESP",12,3,2023,9,1,"n"
"ESP",12,3,2012,9,26,"n"
"ESP",12,2,2022,33,1,"h"
"ESP",12,3,2017,38,7,"h"
"ESP",12,3,2013,17,3,"n"
"ESP",12,2,2015,30,4,"l"
"ESP",12,1,2022,31,26,"n"
"ESP",12,4,2021,35,1,"n"
"ESP",12,2,2017,39,2,"n"
"ESP",12,2,2016,49,1,"n"
"ESP",12,3,2018,37,1,"l"
"ESP",12,1,2023,33,1,"n"
"ESP",12,3,2014,31,1,"n"
"ESP",12,4,2015,13,2,"n"
"ESP",12,3,2023,30,1,"l"
"ESP",12,3,2015,35,6,"l"
"ESP",12,1,2019,9,1,"h"
"ESP",12,3,2012,37,5,"n"
"ESP",12,3,2017,16,2,"l"
"ESP",12,4,2020,31,1,"l"
"ESP",12,3,2020,29,7,"n"
"ESP",12,3,2023,28,1,"n"
"ESP",12,1,2013,25,1,"l"
"ESP",12,3,2016,40,2,"n"
"ESP",12,2,2024,5,1,"n"
"ESP",12,3,2014,29,1,"n"
"ESP",12,1,2016,31,5,"h"
"ESP",12,3,2020,36,9,"h"
"ESP",12,3,2015,25,2,"n"
"ESP",12,2,2017,16,17,"n"
"ESP",12,1,2017,11,1,"l"
"ESP",12,1,2020,31,1,"h"
"ESP",12,1,2019,12,1,"n"
"ESP",12,3,2016,32,8,"h"
"ESP",12,3,2015,28,2,"l"
"ESP",12,2,2020,36,4,"n"
"ESP",12,4,2017,17,1,"h"
"ESP",12,3,2023,24,1,"l"
"ESP",12,2,2012,35,1,"n"
"ESP",12,3,2016,11,2,"n"
"ESP",12,1,2022,4,1,"l"
"ESP",12,4,2015,22,3,"n"
"ESP",12,1,2016,31,3,"n"
"ESP",12,2,2012,7,2,"n"
"ESP",12,4,2022,30,10,"h"
"ESP",12,1,2018,41,2,"n"
"ESP",12,4,2014,12,1,"l"
"ESP",12,3,2022,18,1,"n"
"ESP",12,3,2020,29,2,"h"
"ESP",12,1,2022,22,1,"n"
"ESP",12,1,2018,25,1,"n"
"ESP",12,3,2022,30,5,"h"
"ESP",12,3,2019,36,6,"h"
"ESP",12,3,2019,13,2,"l"
"ESP",12,3,2017,32,6,"h"
"ESP",12,2,2016,11,2,"n"
"ESP",12,4,2018,34,6,"n"
"ESP",12,1,2015,20,1,"n"
"ESP",12,4,2023,40,1,"n"
"ESP",12,2,2015,33,1,"n"
"ESP",12,3,2013,35,1,"l"
"ESP",12,1,2018,33,1,"h"
"ESP",12,4,2013,26,2,"h"
"ESP",12,3,2021,20,1,"l"
"ESP",12,3,2017,32,15,"n"
"ESP",12,3,2019,1,2,"n"
"ESP",12,3,2013,50,1,"n"
"ESP",12,2,2015,36,2,"n"
"ESP",12,3,2014,12,1,"l"
"ESP",12,2,2023,41,1,"n"
"ESP",12,4,2013,12,1,"l"
"ESP",12,1,2020,29,7,"n"
"ESP",12,3,2013,31,2,"n"
"ESP",12,2,2019,12,1,"h"
"ESP",12,3,2017,41,62,"h"
"ESP",12,2,2017,16,4,"h"
"ESP",12,4,2023,5,2,"n"
"ESP",12,4,2022,32,5,"n"
"ESP",12,3,2021,18,1,"l"
"ESP",12,3,2015,28,4,"h"
"ESP",12,2,2024,16,4,"h"
"ESP",12,3,2019,9,1,"l"
"ESP",12,2,2015,37,1,"l"
"ESP",12,3,2013,37,4,"h"
"ESP",12,3,2017,31,19,"n"
"ESP",12,1,2015,32,4,"h"
"ESP",12,1,2014,12,3,"n"
"ESP",12,1,2013,26,1,"l"
"ESP",12,3,2012,12,1,"l"
"ESP",12,3,2015,10,6,"n"
"ESP",12,3,2013,27,10,"n"
"ESP",12,3,2023,6,2,"l"
"ESP",12,1,2013,36,14,"n"
"ESP",12,4,2019,13,4,"n"
"ESP",12,3,2017,25,1,"n"
"ESP",12,2,2015,42,1,"l"
"ESP",12,1,2021,46,1,"l"
"ESP",12,1,2016,30,8,"n"
"ESP",12,3,2015,19,1,"n"
"ESP",12,1,2019,18,1,"n"
"ESP",12,3,2017,11,2,"l"
"ESP",12,4,2015,23,2,"n"
"ESP",12,3,2021,27,3,"n"
"ESP",12,2,2015,34,2,"n"
"ESP",12,4,2017,42,1,"n"
"ESP",12,3,2018,35,1,"l"
"ESP",12,4,2015,32,1,"l"
"ESP",12,3,2015,32,2,"h"
"ESP",12,1,2021,34,1,"n"
"ESP",12,3,2020,22,1,"n"
"ESP",12,3,2015,22,1,"n"
"ESP",12,3,2013,39,12,"n"
"ESP",12,3,2023,5,2,"l"
"ESP",12,2,2012,12,4,"n"
"ESP",12,2,2014,44,1,"h"
"ESP",12,4,2020,22,1,"h"
"ESP",12,2,2018,39,1,"n"
"ESP",12,4,2016,33,1,"n"
"ESP",12,4,2017,37,1,"n"
"ESP",12,3,2017,20,1,"n"
"ESP",12,2,2013,39,6,"n"
"ESP",12,4,2012,13,5,"n"
"ESP",12,3,2012,13,18,"n"
"ESP",12,1,2015,30,1,"h"
"ESP",12,3,2012,25,1,"n"
"ESP",12,2,2012,22,1,"n"
"ESP",12,1,2012,10,1,"l"
"ESP",12,3,2019,2,2,"l"
"ESP",12,2,2015,11,2,"n"
"ESP",12,1,2017,16,3,"l"
"ESP",12,1,2013,18,2,"n"
"ESP",12,3,2015,28,7,"n"
"ESP",12,3,2021,11,1,"n"
"ESP",12,4,2023,16,2,"n"
"ESP",12,4,2013,26,4,"n"
"ESP",12,2,2021,25,4,"n"
"ESP",12,2,2024,15,1,"l"
"ESP",12,3,2015,34,6,"n"
"ESP",12,3,2015,37,8,"h"
"ESP",12,4,2015,34,1,"l"
"ESP",12,3,2015,36,8,"n"
"ESP",12,3,2012,22,1,"n"
"ESP",12,2,2022,4,1,"h"
"ESP",12,1,2013,35,2,"h"
"ESP",12,2,2017,4,1,"n"
"ESP",12,3,2021,10,1,"n"
"ESP",12,4,2017,33,1,"l"
"ESP",12,2,2016,37,1,"h"
"ESP",12,3,2016,41,1,"n"
"ESP",12,4,2012,8,3,"n"
"ESP",12,1,2017,23,1,"n"
"ESP",12,4,2019,12,2,"n"
"ESP",12,2,2014,44,1,"l"
"ESP",12,3,2017,34,2,"l"
"ESP",12,1,2016,30,1,"l"
"ESP",12,3,2019,22,1,"n"
"ESP",12,4,2017,10,3,"n"
"ESP",12,2,2012,11,9,"n"
"ESP",12,3,2022,4,14,"n"
"ESP",12,2,2014,20,2,"n"
"ESP",12,3,2012,32,18,"h"
"ESP",12,1,2015,29,7,"n"
"ESP",12,1,2015,12,3,"n"
"ESP",12,4,2013,34,3,"n"
"ESP",12,3,2023,26,2,"n"
"ESP",12,3,2012,31,1,"n"
"ESP",12,4,2012,4,3,"n"
"ESP",12,3,2021,28,1,"l"
"ESP",12,4,2012,36,1,"h"
"ESP",12,2,2023,7,2,"n"
"ESP",12,2,2012,36,1,"l"
"ESP",12,4,2015,34,1,"n"
"ESP",12,3,2015,12,1,"n"
"ESP",12,2,2012,30,1,"n"
"ESP",12,3,2019,21,1,"n"
"ESP",12,2,2016,37,1,"l"
"ESP",12,3,2022,29,52,"l"
"ESP",12,2,2015,46,2,"n"
"ESP",12,3,2013,39,9,"h"
"ESP",12,2,2021,33,1,"l"
"ESP",12,4,2017,13,1,"n"
"ESP",12,3,2022,32,30,"h"
"ESP",12,2,2012,5,1,"n"
"ESP",12,4,2015,33,1,"n"
"ESP",12,2,2012,37,1,"h"
"ESP",12,1,2014,20,2,"n"
"ESP",12,3,2021,12,1,"h"
"ESP",12,2,2016,40,3,"n"
"ESP",12,3,2017,40,6,"h"
"ESP",12,2,2022,29,26,"l"
"ESP",12,1,2018,21,1,"n"
"ESP",12,2,2023,26,1,"n"
"ESP",12,1,2015,29,1,"l"
"ESP",12,3,2012,32,7,"l"
"ESP",12,2,2012,11,1,"h"
"ESP",12,2,2017,42,5,"h"
"ESP",12,4,2024,16,2,"n"
"ESP",12,4,2022,32,2,"l"
"ESP",12,3,2016,36,8,"l"
"ESP",12,3,2018,38,1,"l"
"ESP",12,3,2017,28,1,"n"
"ESP",12,2,2016,30,2,"n"
"ESP",12,1,2013,38,4,"n"
"ESP",12,2,2021,33,2,"n"
"ESP",12,1,2013,9,2,"n"
"ESP",12,4,2014,10,1,"n"
"ESP",12,4,2023,26,1,"n"
"ESP",12,2,2014,11,3,"n"
"ESP",12,3,2013,36,1,"l"
"ESP",12,3,2023,35,3,"h"
"ESP",12,2,2013,35,1,"l"
"ESP",12,1,2022,10,1,"n"
"ESP",12,2,2015,25,1,"n"
"ESP",12,1,2015,30,3,"n"
"ESP",12,3,2019,14,1,"l"
"ESP",12,3,2020,30,2,"l"
"ESP",12,3,2014,24,1,"l"
"ESP",12,3,2017,21,2,"n"
"ESP",12,2,2022,32,3,"n"
"ESP",12,1,2017,11,5,"n"
"ESP",12,4,2022,31,27,"n"
"ESP",12,4,2017,43,3,"n"
"ESP",12,3,2018,40,8,"n"
"ESP",12,2,2023,13,1,"h"
"ESP",12,1,2019,36,10,"n"
"ESP",12,4,2018,32,2,"n"
"ESP",12,2,2022,30,3,"n"
"ESP",12,1,2022,29,1,"n"
"ESP",12,4,2017,34,2,"n"
"ESP",12,1,2015,42,1,"n"
"ESP",12,3,2023,9,1,"l"
"ESP",12,2,2017,38,1,"n"
"ESP",12,2,2012,9,4,"n"
"ESP",12,4,2012,10,2,"n"
"ESP",12,1,2019,37,2,"n"
"ESP",12,3,2017,37,1,"l"
"ESP",12,2,2014,16,1,"n"
"ESP",12,4,2017,34,1,"h"
"ESP",12,3,2022,24,4,"n"
"ESP",12,4,2017,32,3,"l"
"ESP",12,3,2017,41,14,"l"
"ESP",12,2,2014,30,3,"n"
"ESP",12,1,2013,27,1,"h"
"ESP",12,3,2018,43,4,"n"
"ESP",12,3,2012,38,3,"h"
"ESP",12,4,2012,9,1,"l"
"ESP",12,4,2019,37,1,"l"
"ESP",12,4,2015,15,3,"n"
"ESP",12,3,2019,9,3,"n"
"ESP",12,2,2017,30,3,"n"
"ESP",12,1,2017,28,6,"n"
"ESP",12,1,2017,17,1,"h"
"ESP",12,1,2015,32,17,"n"
"ESP",12,2,2019,12,4,"n"
"ESP",12,2,2018,35,1,"l"
"ESP",12,3,2013,48,1,"l"
"ESP",12,1,2019,9,2,"n"
"ESP",12,2,2012,37,3,"n"
"ESP",12,2,2024,12,2,"n"
"ESP",12,3,2018,16,1,"l"
"ESP",12,3,2015,36,4,"h"
"ESP",12,1,2012,13,21,"n"
"ESP",12,3,2019,14,1,"n"
"ESP",12,3,2017,34,9,"h"
"ESP",12,4,2015,12,2,"n"
"ESP",12,4,2013,35,44,"h"
"ESP",12,3,2020,26,1,"l"
"ESP",12,3,2018,20,2,"l"
"ESP",12,4,2013,37,11,"n"
"ESP",12,2,2015,30,14,"n"
"ESP",12,3,2020,29,1,"l"
"ESP",12,1,2015,33,2,"n"
"ESP",12,2,2017,33,1,"h"
"ESP",12,1,2018,35,1,"h"
"ESP",12,3,2012,29,7,"h"
"ESP",12,3,2014,23,1,"n"
"ESP",12,3,2021,28,1,"h"
"ESP",12,2,2018,35,2,"h"
"ESP",12,3,2020,31,2,"h"
"ESP",12,2,2021,28,1,"l"
"ESP",12,4,2012,35,5,"n"
"ESP",12,1,2019,35,1,"n"
"ESP",12,3,2013,27,1,"h"
"ESP",12,3,2013,35,4,"h"
"ESP",12,1,2018,19,3,"n"
"ESP",12,3,2016,33,3,"l"
"ESP",12,1,2019,13,6,"l"
"ESP",12,4,2024,16,3,"h"
"ESP",12,4,2019,37,3,"n"
"ESP",12,4,2022,21,1,"n"
"ESP",12,3,2015,29,14,"n"
"ESP",12,2,2016,26,1,"n"
"ESP",12,1,2013,16,3,"n"
"ESP",12,3,2020,36,21,"n"
"ESP",12,1,2016,26,3,"n"
"ESP",12,3,2013,1,1,"l"
"ESP",12,2,2016,36,7,"n"
"ESP",12,1,2015,11,2,"n"
"ESP",12,3,2017,4,2,"n"
"ESP",12,3,2012,32,25,"n"
"ESP",12,3,2019,11,3,"n"
"ESP",12,2,2013,26,1,"n"
"ESP",12,4,2020,31,3,"n"
"ESP",12,2,2024,14,1,"n"
"ESP",12,3,2018,39,2,"l"
"ESP",12,3,2017,16,4,"n"
"ESP",12,2,2021,46,1,"n"
"ESP",12,3,2017,38,1,"l"
"ESP",12,1,2023,9,2,"n"
"ESP",12,1,2020,9,1,"n"
"ESP",12,3,2017,41,98,"n"
"ESP",12,2,2016,40,1,"h"
"ESP",12,1,2013,41,1,"l"
"ESP",12,2,2016,34,1,"n"
"ESP",12,4,2012,7,2,"n"
"ESP",12,4,2015,12,2,"l"
"ESP",12,3,2018,35,1,"h"
"ESP",12,3,2014,11,6,"n"
"ESP",12,2,2013,38,2,"h"
"ESP",12,3,2015,15,2,"l"
"ESP",12,2,2022,19,4,"n"
"ESP",12,4,2016,17,1,"n"
