subregion,alert__count
2,4
3,1
3,1
3,2
4,1
3,2
3,5
4,5
3,3
3,1
2,1
3,3
1,3
3,1
1,1
1,2
2,5
4,3
1,2
4,3
3,2
1,9
1,2
3,8
3,1
3,1
4,3
4,1
2,12
4,4
3,7
1,3
4,5
2,8
2,44
3,6
2,1
2,1
1,1
3,1
4,1
4,1
2,1
3,1
3,4
2,8
4,1
1,1
3,3
4,1
4,3
1,1
4,1
1,1
4,1
4,1
1,5
3,35
1,1
3,9
1,2
2,2
1,1
3,3
4,1
2,1
2,13
3,1
2,12
3,60
4,1
4,3
1,3
4,1
3,3
3,37
4,2
1,8
3,221
3,7
3,4
4,2
3,3
2,2
3,1
1,1
3,2
2,130
1,1
3,3
3,1
3,34
2,3
3,4
3,2
2,4
2,1
3,13
3,1
3,2
3,2
2,5
2,99
2,2
2,17
2,2
4,2
1,1
4,2
4,1
2,1
4,1
3,5
3,11
2,4
2,3
3,4
3,1
3,1
1,3
3,1
1,1
2,1
3,1
3,2
4,1
2,1
3,24
3,3
2,3
3,5
4,1
3,15
3,4
3,7
3,2
3,2
4,3
2,13
1,1
3,1
4,1
3,6
1,1
1,1
3,2
1,2
2,9
2,1
3,3
2,10
3,1
2,2
1,1
1,1
3,1
3,5
3,2
1,1
2,1
3,2
3,10
3,2
3,1
2,5
3,1
3,2
2,1
2,5
3,51
3,3
3,21
3,64
2,1
4,2
1,1
1,1
4,1
3,6
3,1
4,1
4,1
3,1
3,26
2,1
3,7
3,3
2,4
1,26
4,1
2,2
2,1
3,1
1,1
3,1
4,2
3,1
3,6
1,1
3,5
3,2
4,1
3,7
3,1
1,1
3,2
2,1
3,1
1,5
3,9
3,2
2,17
1,1
1,1
1,1
3,8
3,2
2,4
4,1
3,1
2,1
3,2
1,1
4,3
1,3
2,2
4,10
1,2
4,1
3,1
3,2
1,1
1,1
3,5
3,6
3,2
3,6
2,2
4,6
1,1
4,1
2,1
3,1
1,1
4,2
3,1
3,15
3,2
3,1
2,2
3,1
2,1
4,1
1,7
3,2
2,1
3,62
2,4
4,2
4,5
3,1
3,4
2,4
3,1
2,1
3,4
3,19
1,4
1,3
1,1
3,1
3,6
3,10
3,2
1,14
4,4
3,1
2,1
1,1
1,8
3,1
1,1
3,2
4,2
3,3
2,2
4,1
3,1
4,1
3,2
1,1
3,1
3,1
3,12
3,2
2,4
2,1
4,1
2,1
4,1
4,1
3,1
2,6
4,5
3,18
1,1
3,1
2,1
1,1
3,2
2,2
1,3
1,2
3,7
3,1
4,2
4,4
2,4
2,1
3,6
3,8
4,1
3,8
3,1
2,1
1,2
2,1
3,1
4,1
2,1
3,1
4,3
1,1
4,2
2,1
3,2
1,1
3,1
4,3
2,9
3,14
2,2
3,18
1,7
1,3
4,3
3,2
3,1
4,3
3,1
4,1
2,2
2,1
4,1
3,1
2,1
3,1
2,1
3,52
2,2
3,9
2,1
4,1
3,30
2,1
4,1
2,1
1,2
3,1
2,3
3,6
2,26
1,1
2,1
1,1
3,7
2,1
2,5
4,2
4,2
3,8
3,1
3,1
2,2
1,4
2,2
1,2
4,1
4,1
2,3
3,1
3,3
2,1
1,1
2,1
1,3
3,1
3,2
3,1
3,2
2,3
1,5
4,27
4,3
3,8
2,1
1,10
4,2
2,3
1,1
4,2
1,1
3,1
2,1
2,4
4,2
1,2
3,1
2,1
4,1
3,4
4,3
3,14
2,3
1,1
3,4
3,3
4,1
4,1
4,3
3,3
2,3
1,6
1,1
1,17
2,4
2,1
3,1
1,2
2,3
2,2
3,1
3,4
1,21
3,1
3,9
4,2
4,44
3,1
3,2
4,11
2,14
3,1
1,2
2,1
1,1
3,7
3,1
3,1
2,2
3,2
2,1
4,5
1,1
3,1
3,4
1,3
3,3
1,6
4,3
4,3
4,1
3,14
2,1
1,3
3,21
1,3
3,1
2,7
1,2
3,2
3,25
3,3
2,1
4,3
2,1
3,2
3,4
2,1
3,1
1,2
1,1
3,98
2,1
1,1
2,1
4,2
4,2
3,1
3,6
2,2
3,2
2,4
4,1
3,1
1,4
3,1
1,2
2,2
3,2
3,1
3,2
1,1
2,4
2,6
2,1
3,3
2,1
3,1
3,5
3,1
3,2
3,1
2,3
4,4
3,4
1,1
3,1
3,2
3,1
3,5
2,7
3,1
1,1
3,1
1,1
2,2
1,4
4,2
3,2
1,8
2,1
3,2
3,2
3,2
3,5
2,1
2,1
1,1
4,34
3,7
4,1
3,34
3,2
1,1
3,9
3,8
4,1
2,1
3,2
3,13
2,1
2,1
3,43
3,4
1,1
1,5
1,1
3,7
1,11
3,4
2,3
3,1
3,1
3,3
3,1
3,6
1,6
1,10
3,2
4,3
3,4
2,1
1,1
3,3
4,2
2,1
1,5
1,1
3,8
4,2
3,1
3,2
2,1
1,42
4,1
1,2
4,3
3,1
2,1
4,2
4,14
1,14
3,4
3,7
3,6
3,1
3,2
3,3
3,5
3,1
3,1
3,1
2,2
3,1
3,16
1,4
3,1
3,1
2,19
1,1
3,1
3,14
1,9
2,1
3,3
1,31
2,6
3,1
1,2
3,6
3,1
3,5
3,8
2,1
3,2
3,6
3,1
3,1
2,1
4,12
4,3
4,1
4,5
3,1
3,1
2,6
2,1
2,2
3,1
1,2
2,11
1,1
1,2
2,12
3,8
2,1
1,2
1,5
1,9
1,18
3,57
3,25
3,38
4,1
3,2
4,1
4,1
2,4
3,2
4,5
4,1
1,8
1,1
3,2
4,5
1,2
3,4
4,5
2,2
4,5
4,1
2,4
3,26
3,7
4,2
3,8
3,1
3,9
2,2
3,5
4,1
3,1
3,3
3,3
3,112
3,70
1,4
3,4
3,5
4,1
1,1
4,1
2,4
2,58
2,1
2,5
3,1
1,4
2,6
2,18
2,8
4,17
2,1
1,2
4,50
4,3
3,1
4,5
2,2
3,2
2,1
3,15
3,15
3,2
2,2
1,2
3,12
1,1
3,1
3,9
4,1
1,4
4,1
4,3
4,5
1,4
1,2
2,1
1,4
4,1
1,2
1,1
3,12
1,1
1,1
1,1
3,1
1,5
3,1
3,2
1,3
3,4
1,9
4,6
2,2
3,1
2,1
4,1
3,1
4,2
3,7
2,1
4,1
4,1
3,5
1,1
3,1
4,14
4,68
1,7
1,2
2,2
3,1
2,7
3,2
3,2
2,6
4,1
1,3
3,29
3,1
1,4
4,5
2,1
1,2
1,1
2,1
3,10
1,1
1,53
1,2
1,3
1,1
4,2
3,1
2,1
2,3
2,1
2,2
1,1
3,5
3,2
1,6
1,4
1,2
3,1
3,1
2,7
1,1
3,1
4,31
2,1
3,1
1,3
3,1
4,1
3,2
3,1
4,1
2,2
3,11
2,4
1,1
2,1
3,1
3,3
2,1
2,1
1,5
4,1
4,1
2,5
3,2
3,8
3,5
2,1
3,2
1,5
2,1
3,1
2,1
1,1
3,1
2,1
3,12
3,1
3,7
3,2
1,1
3,1
3,2
3,14
3,5
3,2
3,13
3,1
2,2
3,1
3,26
1,3
2,2
2,1
1,12
4,1
1,1
4,1
3,1
3,4
3,12
4,2
1,9
3,1
3,3
2,1
1,1
3,2
1,1
1,1
3,1
3,12
3,7
3,1
1,17
2,4
3,7
3,3
2,5
1,1
1,1
1,48
3,6
3,6
3,1
2,1
3,1
3,1
1,4
2,1
4,2
1,12
4,2
2,18
1,1
4,1
3,1
3,1
3,1
3,12
1,8
4,2
2,4
1,2
1,1
3,1
1,5
1,4
1,1
2,5
3,4
3,1
3,3
1,1
1,1
1,1
2,1
3,25
2,1
4,4
3,8
3,8
1,15
3,1
2,64
3,44
3,2
3,4
3,4
1,2
3,1
1,2
4,1
3,2
2,3
4,2
2,2
3,4
4,1
1,1
4,1
2,4
3,6
3,1
1,1
3,5
2,2
4,1
2,3
4,1
2,1
2,3
4,2
3,4
3,5
4,1
1,3
3,7
4,1
3,4
3,1
3,3
3,1
3,3
3,1
3,2
1,1
3,1
3,2
2,70
1,4
4,3
1,1
2,3
3,10
4,5
1,1
3,1
3,1
4,1
1,1
1,1
2,3
1,1
4,6
1,2
3,2
3,4
1,1
3,2
3,3
3,1
4,1
2,1
1,3
2,1
3,1
2,4
2,1
3,5
4,87
2,2
2,7
