time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),soil_temperature_0cm (°C),soil_moisture_0_to_1cm (m³/m³),direct_normal_irradiance_instant (W/m²)
2024-05-01T00:00,4.8,93,0,0,0.06,12.9,6.8,0.301,0
2024-05-01T01:00,5.3,93,0.9,0,0.06,15.6,6.5,0.296,0
2024-05-01T02:00,4.5,96,0,0,0.03,11,6.3,0.305,0
2024-05-01T03:00,3.9,95,0,0,0.04,10.7,5.8,0.296,0
2024-05-01T04:00,4.1,95,0,0,0.04,9.2,5.4,0.295,0
2024-05-01T05:00,4.6,95,0,0,0.04,8.2,5.4,0.293,0
2024-05-01T06:00,3.7,95,0,0,0.04,9.8,5.5,0.292,0
2024-05-01T07:00,3.6,94,0,0,0.05,11.4,5.3,0.291,0
2024-05-01T08:00,3.8,95,0,0,0.04,10.9,5.1,0.291,46.4
2024-05-01T09:00,5.1,92,0,0.04,0.07,9.7,6.8,0.289,429.6
2024-05-01T10:00,6.5,88,0,0.14,0.12,10.5,7.5,0.288,749.1
2024-05-01T11:00,6.7,87,0.1,0.18,0.13,13.1,9.2,0.286,766.3
2024-05-01T12:00,7.6,78,0,0.3,0.23,8.7,10.5,0.297,904.1
2024-05-01T13:00,7.5,78,0,0.19,0.23,12.7,9.7,0.31,200.5
2024-05-01T14:00,7.9,86,0.2,0.29,0.15,8.5,9.3,0.34,499.4
2024-05-01T15:00,10.1,71,0.1,0.41,0.36,12.3,9.1,0.336,896.8
2024-05-01T16:00,6.3,91,1.2,0.18,0.09,15,9.1,0.338,218.3
2024-05-01T17:00,8.2,85,0.1,0.18,0.16,14.7,9.1,0.345,239.1
2024-05-01T18:00,6.9,86,2.5,0.11,0.14,12,9,0.338,56
2024-05-01T19:00,7.5,86,1.6,0.1,0.15,6.3,8.4,0.33,88.2
2024-05-01T20:00,8,94,2.5,0.08,0.06,1.5,8.2,0.341,123.1
2024-05-01T21:00,7.1,89,1.1,0.03,0.11,2.9,7,0.331,83.1
2024-05-01T22:00,6.5,92,1.1,0.01,0.08,3.2,5.6,0.321,0
2024-05-01T23:00,6.2,87,0.1,0,0.12,9.4,5.3,0.317,0
2024-05-02T00:00,5.4,89,0,0,0.1,10.3,5.3,0.313,0
2024-05-02T01:00,4.8,92,0,0,0.07,10.2,4.8,0.311,0
2024-05-02T02:00,4.5,97,0,0,0.03,10.6,4.4,0.309,0
2024-05-02T03:00,5,90,0,0,0.09,13.9,4.5,0.307,0
2024-05-02T04:00,4.5,90,0,0,0.08,13.7,4.7,0.305,0
2024-05-02T05:00,4.6,91,0,0,0.08,11.3,4.5,0.304,0
2024-05-02T06:00,4.2,92,0,0,0.07,13.2,4.6,0.303,0
2024-05-02T07:00,4.5,91,0,0,0.08,12.1,4.4,0.302,0
2024-05-02T08:00,4.7,95,0,0,0.04,9.8,5.1,0.301,38.5
2024-05-02T09:00,6.2,94,0,0.04,0.06,12.6,6.8,0.299,422.3
2024-05-02T10:00,7.4,89,0,0.11,0.11,13.3,7.6,0.298,559.8
2024-05-02T11:00,7.5,89,0,0.23,0.11,9.5,8.2,0.301,878.4
2024-05-02T12:00,8.6,81,0.1,0.22,0.21,11.6,9.5,0.304,506.2
2024-05-02T13:00,7.9,89,1.4,0.19,0.12,13.8,9.6,0.303,281.7
2024-05-02T14:00,7.3,89,2.4,0.24,0.11,12.5,9.9,0.311,370.8
2024-05-02T15:00,9.7,78,0,0.41,0.27,19.8,10.5,0.311,1083.1
2024-05-02T16:00,9.8,85,0.7,0.35,0.18,16.2,10.5,0.307,878.2
2024-05-02T17:00,8.7,86,0.3,0.15,0.16,13.3,10.2,0.306,84.7
2024-05-02T18:00,9.7,82,0.1,0.21,0.22,18.7,10,0.303,500.1
2024-05-02T19:00,8.3,81,0.5,0.1,0.21,21.8,9,0.305,105.6
2024-05-02T20:00,7.4,86,2.3,0.05,0.14,14.1,8.9,0.299,8.8
2024-05-02T21:00,7.7,91,0,0.04,0.09,13.5,8.1,0.297,371.4
2024-05-02T22:00,7.3,92,2.1,0.01,0.08,11.8,7.7,0.296,0
2024-05-02T23:00,6.7,93,0.5,0,0.07,10.9,7.6,0.295,0
2024-05-03T00:00,6.4,93,0.1,0,0.07,13.5,7.5,0.295,0
2024-05-03T01:00,6.9,93,0,0,0.07,14.2,7.3,0.294,0
2024-05-03T02:00,6,94,0,0,0.06,9.1,7.3,0.293,0
2024-05-03T03:00,6.1,91,0,0,0.09,11.1,6.8,0.293,0
2024-05-03T04:00,6.3,93,0,0,0.07,13.8,6.9,0.292,0
2024-05-03T05:00,7.3,95,0.8,0,0.05,12.7,7.3,0.292,0
2024-05-03T06:00,7.6,94,2.8,0,0.06,12.5,7.6,0.291,0
2024-05-03T07:00,7.3,90,0,0,0.1,15.2,7.8,0.29,0
2024-05-03T08:00,7.6,91,0.1,0.01,0.09,12.4,7.6,0.291,16.9
2024-05-03T09:00,8.4,93,0,0.05,0.08,13,8.6,0.29,468.5
2024-05-03T10:00,9.9,89,0,0.14,0.13,17.6,9.6,0.289,729.9
2024-05-03T11:00,9.3,98,0,0.11,0.02,18.7,9.9,0.288,269
2024-05-03T12:00,9.4,95,0.3,0.11,0.06,16.8,10,0.287,81.9
2024-05-03T13:00,10.1,93,0.2,0.08,0.09,17.7,10.5,0.292,7.9
2024-05-03T14:00,11.9,90,0.4,0.21,0.14,19.3,10.9,0.298,214.6
2024-05-03T15:00,13.3,84,0,0.32,0.25,18.8,11.2,0.306,520.5
2024-05-03T16:00,11.6,91,0.4,0.04,0.12,20.6,10.8,0.315,0
2024-05-03T17:00,11.7,92,0.2,0.04,0.11,23.6,11.4,0.322,0
2024-05-03T18:00,11.7,90,0.1,0.06,0.14,26.2,10.7,0.344,2.6
2024-05-03T19:00,11.3,92,0.2,0.04,0.11,21.7,10.7,0.355,0.7
2024-05-03T20:00,11.4,92,1,0.06,0.11,15.3,10.6,0.345,67.7
2024-05-03T21:00,11.4,92,0,0.04,0.11,20.4,10.4,0.345,45.9
2024-05-03T22:00,11.2,95,0.1,0.02,0.07,19.4,10.4,0.352,0
2024-05-03T23:00,11.3,94,0.3,0,0.08,17.1,10.4,0.361,0
2024-05-04T00:00,11.5,94,1,0,0.08,20,10.7,0.362,0
2024-05-04T01:00,11.6,94,2.6,0,0.08,19.1,10.7,0.361,0
2024-05-04T02:00,11.4,96,1.6,0,0.05,15.7,11.1,0.367,0
2024-05-04T03:00,11.7,93,4.9,0,0.1,23.2,11.2,0.361,0
2024-05-04T04:00,11.7,93,4.4,0,0.1,23.6,11.3,0.351,0
2024-05-04T05:00,11.7,95,4.9,0,0.07,22.7,11.5,0.346,0
2024-05-04T06:00,12.1,93,0.4,0,0.1,23.6,11.6,0.331,0
2024-05-04T07:00,12.3,92,0.1,0,0.11,26.1,11.3,0.363,0
2024-05-04T08:00,11.6,99,0.6,0.01,0.01,18.3,11.6,0.345,0
2024-05-04T09:00,12.5,92,0.2,0.03,0.12,25,11.6,0.349,0
2024-05-04T10:00,12.4,94,0.1,0.03,0.09,22.6,11.9,0.345,1.2
2024-05-04T11:00,12.1,98,0,0.03,0.03,17.5,12.1,0.345,1.1
2024-05-04T12:00,12.4,94,0.5,0.03,0.09,16.1,12,0.333,0.1
2024-05-04T13:00,12.3,95,0.4,0.03,0.07,16.2,13.3,0.327,0
2024-05-04T14:00,13,95,0.3,0.03,0.08,11.3,13.3,0.329,0.2
2024-05-04T15:00,13.1,96,0.3,0.03,0.06,18.5,13.5,0.329,0.4
2024-05-04T16:00,13.2,95,0.2,0.04,0.08,21.9,14.1,0.327,0
2024-05-04T17:00,13.2,99,1.4,0.03,0.02,14.4,13.6,0.322,0
2024-05-04T18:00,12.2,95,0.1,0.03,0.07,20,13.7,0.316,0.2
2024-05-04T19:00,12.3,95,0,0.07,0.07,15,13,0.313,29.5
2024-05-04T20:00,12.3,89,0,0.06,0.16,12.7,12.6,0.311,37.5
2024-05-04T21:00,11.8,87,0,0.05,0.18,16.9,12,0.309,143.1
2024-05-04T22:00,11.5,90,0,0.03,0.14,12.3,11.5,0.308,0
2024-05-04T23:00,11.6,90,0,0,0.14,12,11.2,0.307,0
2024-05-05T00:00,11.5,91,0.1,0,0.12,13.7,11.4,0.306,0
2024-05-05T01:00,11.5,92,0.1,0,0.11,18.6,11.4,0.305,0
2024-05-05T02:00,11.5,91,0,0,0.12,16.3,11.5,0.305,0
2024-05-05T03:00,11.8,90,0,0.01,0.14,24.9,11.4,0.321,0
2024-05-05T04:00,11.9,88,0,0.01,0.17,21.6,11.5,0.346,0
2024-05-05T05:00,11.8,94,1.7,0,0.08,11.1,11.6,0.352,0
2024-05-05T06:00,11.7,96,14.9,0,0.06,10,11.6,0.356,0
2024-05-05T07:00,11.8,98,2.2,0,0.03,10.2,11.8,0.383,0
2024-05-05T08:00,11.5,100,0,0.01,0,8.8,12,0.372,0
2024-05-05T09:00,11.7,99,0.7,0.02,0.01,11.5,12,0.362,0
2024-05-05T10:00,11.8,98,4.1,0.02,0.03,8.8,12.7,0.361,0.2
2024-05-05T11:00,9.8,100,2.3,0.02,0,6.2,12.3,0.358,0.2
2024-05-05T12:00,9.5,100,1.5,0.02,0,3.1,12.3,0.345,0.1
2024-05-05T13:00,9.4,100,0.5,0.02,0,3.9,12.5,0.339,0.1
2024-05-05T14:00,9.7,100,0.2,0.03,0,6.5,12.1,0.328,0.1
2024-05-05T15:00,9.7,100,2,0.03,0,7.6,12,0.33,0.4
2024-05-05T16:00,10.4,98,0.9,0.08,0.03,4,12.2,0.34,0
2024-05-05T17:00,11,93,0.3,0.04,0.09,4.1,11.6,0.336,0
2024-05-05T18:00,11,91,0,0.07,0.12,9.5,11.8,0.328,3.6
2024-05-05T19:00,10.2,82,0.1,0.05,0.22,9.8,11.5,0.323,1.9
2024-05-05T20:00,10.4,86,0,0.06,0.18,7.8,10.5,0.318,31.6
2024-05-05T21:00,9.8,89,0,0.03,0.13,8.2,9.7,0.315,0
2024-05-05T22:00,8.9,91,0,0.02,0.1,8,8.1,0.313,0
2024-05-05T23:00,7.9,94,0,0,0.06,6.1,6.6,0.312,0
2024-05-06T00:00,6.7,95,0,0,0.05,2.2,5.4,0.31,0
2024-05-06T01:00,5.5,95,0,0,0.05,1.8,4.8,0.309,0
2024-05-06T02:00,4.7,96,0,0,0.03,3.8,5.7,0.309,0
2024-05-06T03:00,5.3,96,0,0,0.04,3.7,5.8,0.307,0
2024-05-06T04:00,4.3,97,0,0,0.02,4.6,5.6,0.306,0
2024-05-06T05:00,3.7,98,0,0,0.02,7.7,5.8,0.305,0
2024-05-06T06:00,3.5,98,0,0,0.02,8.7,5.3,0.305,0
2024-05-06T07:00,2.9,99,0,0,0.01,10.1,5.2,0.304,0
2024-05-06T08:00,3.6,99,0,0.01,0.01,5.9,5.3,0.303,0
2024-05-06T09:00,6.4,95,0,0.05,0.05,5.6,8.7,0.302,491.8
2024-05-06T10:00,8.4,87,0,0.17,0.14,4,10.1,0.3,759.2
2024-05-06T11:00,9.1,87,0,0.29,0.15,5.4,11.1,0.299,920.7
2024-05-06T12:00,10.2,79,0,0.38,0.26,7.7,11.3,0.297,1008.3
2024-05-06T13:00,11.1,74,0,0.46,0.35,7.7,11.9,0.295,1021.8
2024-05-06T14:00,12.5,68,0,0.51,0.46,3.2,14.2,0.294,909.4
2024-05-06T15:00,12.8,68,0,0.44,0.47,14.8,12.1,0.293,860.5
2024-05-06T16:00,12.2,82,0,0.35,0.26,12.5,12.3,0.292,599.9
2024-05-06T17:00,13.9,71,0,0.42,0.46,6.6,13.4,0.29,787.5
2024-05-06T18:00,12.9,75,0,0.28,0.37,13.1,14.2,0.289,612.6
2024-05-06T19:00,12.9,77,0,0.24,0.34,12.6,12.9,0.288,753.7
2024-05-06T20:00,12.6,75,0,0.15,0.37,8.4,12.6,0.288,485.4
2024-05-06T21:00,11.7,78,0,0.05,0.3,8.8,10.8,0.288,88.3
2024-05-06T22:00,9.9,86,0,0.01,0.17,7.8,8.6,0.289,0
2024-05-06T23:00,8.1,91,0,0,0.1,5,6.7,0.289,0
2024-05-07T00:00,6.7,95,0,0,0.05,2.5,5.4,0.29,0
2024-05-07T01:00,5.8,95,0,0,0.05,3.3,6.3,0.29,0
2024-05-07T02:00,5.1,97,0,0,0.03,5.1,6.5,0.29,0
2024-05-07T03:00,5,98,0,0,0.02,6,6.5,0.29,0
2024-05-07T04:00,5,98,0,0,0.02,6.8,5.4,0.29,0
2024-05-07T05:00,5.4,96,0,0,0.04,11.3,5.8,0.29,0
2024-05-07T06:00,5.8,99,0,0,0.01,15.6,5.2,0.29,0
2024-05-07T07:00,6.1,97,0,0,0.03,14.3,5,0.29,0
2024-05-07T08:00,6.3,95,0,0,0.05,12.8,5.6,0.29,128.4
2024-05-07T09:00,7.8,90,0,0.06,0.11,7.9,9.5,0.289,545.9
2024-05-07T10:00,9.7,85,0,0.18,0.18,9,12,0.288,771.7
2024-05-07T11:00,11.5,76,0,0.31,0.33,10,13.7,0.287,929.1
2024-05-07T12:00,13.4,71,0,0.45,0.45,8.7,15.2,0.285,1032.9
2024-05-07T13:00,14.5,67,0,0.55,0.55,9.8,16.6,0.282,1092.7
2024-05-07T14:00,15.2,63,0,0.6,0.64,12.3,17.9,0.28,1122
2024-05-07T15:00,15.8,66,0,0.63,0.61,12.5,18.9,0.277,1130.7
2024-05-07T16:00,16.3,64,0,0.6,0.67,14.1,19.4,0.275,1120
2024-05-07T17:00,16.5,69,0,0.55,0.58,13.5,19.1,0.273,1089.8
2024-05-07T18:00,16.1,73,0,0.44,0.5,14.5,18.2,0.271,1025.1
2024-05-07T19:00,15.5,76,0,0.33,0.42,14.5,17.2,0.271,922.2
2024-05-07T20:00,14.5,78,0,0.2,0.36,13.8,15.4,0.271,760.5
2024-05-07T21:00,12.6,79,0,0.08,0.31,13.7,12.8,0.272,530.5
2024-05-07T22:00,10.9,80,0,0.03,0.26,16.7,10.9,0.273,0
2024-05-07T23:00,10,82,0,0.02,0.22,18.1,9.9,0.274,0
2024-05-08T00:00,9.7,82,0,0.02,0.22,20.6,8.8,0.275,0
2024-05-08T01:00,9.6,83,0,0.02,0.2,20.4,8.1,0.276,0
2024-05-08T02:00,9.7,82,0,0.02,0.22,19.2,7.9,0.277,0
2024-05-08T03:00,9.9,81,0,0.02,0.23,19.9,7.6,0.277,0
2024-05-08T04:00,10.1,80,0,0.02,0.25,20.1,7.7,0.278,0
2024-05-08T05:00,10,82,0,0.01,0.22,17.1,8.4,0.278,0
2024-05-08T06:00,9.9,84,0,0.01,0.2,14.1,8.6,0.278,0
2024-05-08T07:00,9.6,83,0,0.01,0.2,13.5,8.7,0.278,0
2024-05-08T08:00,10.1,80,0,0.02,0.25,12.2,9,0.278,63.5
2024-05-08T09:00,11.7,78,0,0.07,0.3,11.2,11.6,0.278,252.8
2024-05-08T10:00,13.8,70,0,0.16,0.48,9.3,14.4,0.277,434.7
2024-05-08T11:00,16,63,0,0.3,0.68,8.7,16.8,0.275,753.5
2024-05-08T12:00,17.6,62,0,0.45,0.76,5.2,18.3,0.273,907.3
2024-05-08T13:00,18.9,61,0,0.58,0.85,4,20.2,0.27,986.6
2024-05-08T14:00,19.9,58,0,0.73,0.98,4.7,21.7,0.267,1118.5
2024-05-08T15:00,20.7,55,0,0.76,1.1,5.2,22.8,0.263,1119.6
2024-05-08T16:00,21.1,55,0,0.76,1.13,5.4,23.2,0.26,1121.2
2024-05-08T17:00,21.3,56,0,0.69,1.11,6.5,23,0.258,1091.3
2024-05-08T18:00,20.9,55,0,0.56,1.12,9,22.7,0.256,1030.6
2024-05-08T19:00,20.6,56,0,0.42,1.07,7.9,21.5,0.255,925.9
2024-05-08T20:00,19.9,65,0,0.26,0.82,7.3,19.8,0.256,765.6
2024-05-08T21:00,18.5,71,0,0.1,0.62,6.2,16.6,0.258,535.8
2024-05-08T22:00,16,89,0,0.01,0.2,10.2,13.8,0.26,0
2024-05-08T23:00,15.5,90,0,0,0.18,11.9,12.7,0.262,0
2024-05-09T00:00,15.2,87,0,0,0.22,12.6,11.7,0.263,0
2024-05-09T01:00,14.6,85,0,0,0.25,8.9,11,0.264,0
2024-05-09T02:00,14,84,0,0,0.26,7.2,10.5,0.265,0
2024-05-09T03:00,14.1,84,0,0,0.26,12.7,10.1,0.266,0
2024-05-09T04:00,14.4,83,0,0.01,0.28,12.8,10,0.266,0
2024-05-09T05:00,13.9,76,0,0.01,0.38,9.7,10,0.267,0
2024-05-09T06:00,11,92,0,0,0.11,9.5,9.9,0.267,0
2024-05-09T07:00,10.9,91,0,0,0.12,9.7,9.6,0.268,0
2024-05-09T08:00,10.9,87,0,0.02,0.17,10.1,10.2,0.268,11.1
2024-05-09T09:00,11.8,86,0,0.06,0.19,8.2,12.7,0.268,244.4
2024-05-09T10:00,14.2,82,0,0.16,0.29,7.6,15.6,0.267,562.7
2024-05-09T11:00,17.7,64,0,0.32,0.73,7.1,16.5,0.265,762.7
2024-05-09T12:00,19.7,58,0,0.48,0.97,5.3,17.9,0.263,911
2024-05-09T13:00,20.3,55,0,0.4,1.07,4.7,19,0.261,419.7
2024-05-09T14:00,20.5,53,0,0.39,1.14,5.5,19.9,0.259,262.5
2024-05-09T15:00,20.8,52,0,0.49,1.18,6.8,21.8,0.256,486.8
2024-05-09T16:00,20.7,55,0,0.42,1.1,6.1,21.3,0.253,341.2
2024-05-09T17:00,20.6,56,0,0.35,1.07,5.5,22.4,0.251,262.6
2024-05-09T18:00,20.4,58,0,0.28,1.01,4.8,21.4,0.249,236.7
2024-05-09T19:00,20,66,0,0.21,0.79,4.8,20.8,0.248,207.8
2024-05-09T20:00,19.1,80,0,0.1,0.44,2.9,19.1,0.249,93.9
2024-05-09T21:00,18.1,84,0,0.05,0.33,2.4,16.9,0.251,67.3
2024-05-09T22:00,16.5,83,0,0.01,0.32,1.8,14.5,0.254,0
2024-05-09T23:00,15.2,84,0,0,0.28,6,13.8,0.255,0
2024-05-10T00:00,14.2,80,0,0,0.32,7.1,13.5,0.256,0
2024-05-10T01:00,13.5,74,0,0.01,0.4,6.5,13.1,0.257,0
2024-05-10T02:00,13.1,67,0,0.01,0.5,6,12.6,0.258,0
2024-05-10T03:00,12.5,64,0,0.02,0.52,6.9,11.9,0.258,0
2024-05-10T04:00,12.7,58,0,0.02,0.62,7.2,11,0.259,0
2024-05-10T05:00,13.2,55,0,0.03,0.69,7.4,10.4,0.259,0
2024-05-10T06:00,13.2,53,0,0.03,0.72,7.4,9.9,0.259,0
2024-05-10T07:00,12.5,53,0,0.03,0.68,7,9.6,0.26,0
2024-05-10T08:00,12.1,68,0,0.03,0.45,6.5,10.3,0.26,30
2024-05-10T09:00,13.6,76,0,0.08,0.37,6.5,13,0.26,378.5
2024-05-10T10:00,16.5,69,0,0.22,0.58,4.1,16.6,0.259,745.4
2024-05-10T11:00,18.3,72,0,0.24,0.59,2.9,19.8,0.258,370.1
2024-05-10T12:00,20.3,61,0,0.53,0.93,3.2,21.8,0.255,990.7
2024-05-10T13:00,21.6,55,0,0.69,1.16,3.1,23.2,0.251,1086.8
2024-05-10T14:00,22.6,54,0,0.77,1.26,4.3,24.3,0.247,1112
2024-05-10T15:00,23.2,54,0,0.79,1.31,6,25,0.243,1114.4
2024-05-10T16:00,23.5,54,0,0.75,1.33,8.1,25.4,0.24,1096.1
2024-05-10T17:00,23.4,54,0,0.68,1.33,8.9,25.2,0.237,1072.1
2024-05-10T18:00,23.1,54,0,0.56,1.3,8.4,24.6,0.235,1011
2024-05-10T19:00,22.7,55,0,0.41,1.24,7.9,23.4,0.235,879.5
2024-05-10T20:00,21.7,64,0,0.24,0.93,7.9,21.7,0.235,673.4
2024-05-10T21:00,20,84,0,0.09,0.38,7.1,19.1,0.237,432.8
2024-05-10T22:00,18.1,90,0,0.01,0.21,4.1,15.9,0.24,0
2024-05-10T23:00,16.7,95,0,0,0.1,1.1,13.6,0.242,0
2024-05-11T00:00,15.6,96,0,0,0.07,2.5,12.9,0.244,0
2024-05-11T01:00,14.7,97,0,0,0.05,4.7,13,0.245,0
2024-05-11T02:00,14.2,96,0,0,0.06,5.8,13.1,0.246,0
2024-05-11T03:00,15,57,0,0.02,0.74,5,13.1,0.247,0
2024-05-11T04:00,14.8,57,0,0.02,0.73,5.9,13,0.247,0
2024-05-11T05:00,14.5,60,0,0.02,0.66,6.5,13.1,0.248,0
2024-05-11T06:00,14.4,62,0,0.02,0.63,5.8,13,0.249,0
2024-05-11T07:00,14.3,64,0,0.01,0.59,5.4,12.9,0.25,0
2024-05-11T08:00,13.7,79,0,0.01,0.33,1.8,13.7,0.25,26.9
2024-05-11T09:00,16,83,0,0.06,0.31,5.6,16,0.249,111.6
2024-05-11T10:00,19,75,0,0.14,0.55,5.8,19,0.247,273.3
2024-05-11T11:00,21.4,67,0,0.26,0.84,5.2,21.4,0.247,412.3
2024-05-11T12:00,22.7,60,0.2,0.38,1.1,4.5,22.4,0.248,522.5
2024-05-11T13:00,23.3,54,0.2,0.48,1.32,8.2,22.8,0.251,611.6
2024-05-11T14:00,23.4,51,0.2,0.54,1.41,11.5,22.7,0.257,635.5
2024-05-11T15:00,22.9,53,0.6,0.52,1.31,12,22.1,0.27,549.2
